Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3
7/3/2016,10:00 PM,40,131,45,111,108
7/3/2016,11:00 PM,34,108,36,107,104
07/03/2016 24:00 AM,,30,96,35,104,81
8/3/2016,1:00 AM,29,99,41,92,83
8/3/2016,2:00 AM,31,104,35,107,81
8/3/2016,3:00 AM,33,100,34,64,69
8/3/2016,4:00 AM,36,77,27,48,83
8/3/2016,5:00 AM,39,78,28,44,110
8/3/2016,6:00 AM,38,69,41,52,129
8/3/2016,7:00 AM,90,79,54,52,185
8/3/2016,8:00 AM,100,75,67,63,200
8/3/2016,9:00 AM,98,64,57,58,152
8/3/2016,10:00 AM,56,43,61,91,94
8/3/2016,11:00 AM,30,52,36,70,64
8/3/2016,12:00 PM,37,47,40,50,39
8/3/2016,1:00 PM,32,53,38,58,33
8/3/2016,2:00 PM,35,48,39,47,30
8/3/2016,3:00 PM,34,57,29,57,30
8/3/2016,4:00 PM,38,53,27,48,27
8/3/2016,5:00 PM,34,55,27,42,25
8/3/2016,6:00 PM,35,58,29,40,24
8/3/2016,7:00 PM,41,69,40,44,42
8/3/2016,8:00 PM,41,108,48,46,41
8/3/2016,9:00 PM,35,97,57,53,69
8/3/2016,10:00 PM,30,89,47,52,93
8/3/2016,11:00 PM,32,87,53,49,98
08/03/2016 24:00 AM,,25,59,40,57,125
9/3/2016,1:00 AM,24,55,42,50,122
9/3/2016,2:00 AM,26,56,46,45,141
9/3/2016,3:00 AM,23,50,38,30,162
9/3/2016,4:00 AM,23,47,40,27,209
9/3/2016,5:00 AM,26,42,38,36,308
9/3/2016,6:00 AM,36,43,43,40,247
9/3/2016,7:00 AM,97,54,43,50,277
9/3/2016,8:00 AM,InVld,58,50,40,313
9/3/2016,9:00 AM,InVld,54,54,37,219
9/3/2016,10:00 AM,InVld,65,49,48,168
9/3/2016,11:00 AM,InVld,70,55,57,96
9/3/2016,12:00 PM,InVld,77,47,56,73
