Group Report - Group All params,,,,,,
,,,,,,
Date,Time,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Hyderabad
,,PM2.5_Delhi,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_Mum,PM2.5_HYD
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
14/03/2015,4:00 PM,22,24,71,---,27
14/03/2015,5:00 PM,30,20,81,---,32
14/03/2015,6:00 PM,34,20,83,---,33
14/03/2015,7:00 PM,40,39,105,35,42
14/03/2015,8:00 PM,34,30,117,31,48
14/03/2015,9:00 PM,24,20,78,---,50
14/03/2015,10:00 PM,11,InVld,65,35,36
14/03/2015,11:00 PM,7,20,56,31,39
14/03/2015 24:00 AM,,6,27,67,34,35
15/03/2015,1:00 AM,12,29,60,InVld,36
15/03/2015,2:00 AM,8,InVld,65,InVld,36
15/03/2015,3:00 AM,4,21,73,InVld,38
15/03/2015,4:00 AM,2,16,78,InVld,40
15/03/2015,5:00 AM,12,23,86,InVld,44
15/03/2015,6:00 AM,10,21,100,InVld,51
15/03/2015,7:00 AM,6,58,88,InVld,68
15/03/2015,8:00 AM,11,63,75,InVld,81
15/03/2015,9:00 AM,12,20,45,InVld,59
15/03/2015,10:00 AM,22,InVld,36,InVld,61
15/03/2015,11:00 AM,29,14,35,InVld,61
15/03/2015,12:00 PM,26,---,35,---,38
15/03/2015,1:00 PM,32,18,39,InVld,33
15/03/2015,2:00 PM,31,136,55,InVld,30
15/03/2015,3:00 PM,27,31,60,InVld,29
15/03/2015,4:00 PM,17,15,56,InVld,33
15/03/2015,5:00 PM,12,InVld,64,InVld,35
15/03/2015,6:00 PM,27,15,57,---,33
15/03/2015,7:00 PM,30,InVld,69,30,68
15/03/2015,8:00 PM,33,19,94,30,40
15/03/2015,9:00 PM,44,18,85,33,42
15/03/2015,10:00 PM,33,21,64,37,37
15/03/2015,11:00 PM,25,16,70,35,35
15/03/2015 24:00 AM,,22,InVld,67,35,40
16/03/2015,1:00 AM,35,15,59,30,30
16/03/2015,2:00 AM,22,InVld,56,57,29
16/03/2015,3:00 AM,25,13,56,24,32
16/03/2015,4:00 AM,31,20,65,32,38
16/03/2015,5:00 AM,30,25,78,32,44
16/03/2015,6:00 AM,25,24,96,41,38
16/03/2015,7:00 AM,24,InVld,78,54,43
16/03/2015,8:00 AM,75,48,75,51,56
16/03/2015,9:00 AM,24,InVld,58,---,60
16/03/2015,10:00 AM,24,13,43,---,60
16/03/2015,11:00 AM,25,15,37,---,53
16/03/2015,12:00 PM,27,17,37,---,27
16/03/2015,1:00 PM,22,---,38,---,28
16/03/2015,2:00 PM,22,12,30,---,28
16/03/2015,3:00 PM,17,14,34,---,31
16/03/2015,4:00 PM,24,14,37,---,29
16/03/2015,5:00 PM,30,InVld,40,---,30
16/03/2015,6:00 PM,17,21,52,---,39
16/03/2015,7:00 PM,22,28,52,---,44
16/03/2015,8:00 PM,54,25,59,33,37
16/03/2015,9:00 PM,48,26,63,27,37
16/03/2015,10:00 PM,58,23,75,23,38
16/03/2015,11:00 PM,73,29,134,19,30
16/03/2015 24:00 AM,,73,---,141,---,32
17/03/2015,1:00 AM,100,22,168,InVld,31
17/03/2015,2:00 AM,111,27,182,28,36
17/03/2015,3:00 AM,100,31,151,20,34
17/03/2015,4:00 AM,67,45,119,22,38
17/03/2015,5:00 AM,50,---,101,23,40
17/03/2015,6:00 AM,49,55,115,19,46
17/03/2015,7:00 AM,66,47,125,28,71
17/03/2015,8:00 AM,126,56,115,35,107
17/03/2015,9:00 AM,102,---,84,35,106
17/03/2015,10:00 AM,97,19,68,37,51
17/03/2015,11:00 AM,82,37,70,---,44
17/03/2015,12:00 PM,45,28,55,---,44
17/03/2015,1:00 PM,27,---,56,---,40
17/03/2015,2:00 PM,16,20,54,---,42
17/03/2015,3:00 PM,10,26,52,---,42
17/03/2015,4:00 PM,16,20,61,---,43
17/03/2015,5:00 PM,14,27,66,---,51
17/03/2015,6:00 PM,25,26,59,---,55
17/03/2015,7:00 PM,30,29,69,---,48
17/03/2015,8:00 PM,32,33,55,57,47
17/03/2015,9:00 PM,32,34,57,51,46
17/03/2015,10:00 PM,44,28,57,59,53
17/03/2015,11:00 PM,62,30,52,60,50
17/03/2015 24:00 AM,,60,26,56,76,42
18/03/2015,1:00 AM,71,29,52,107,37
18/03/2015,2:00 AM,54,32,57,96,47
18/03/2015,3:00 AM,61,40,68,84,53
18/03/2015,4:00 AM,55,60,70,93,44
18/03/2015,5:00 AM,76,40,69,85,44
18/03/2015,6:00 AM,78,52,75,108,51
18/03/2015,7:00 AM,88,53,93,118,78
18/03/2015,8:00 AM,105,56,95,135,115
18/03/2015,9:00 AM,91,55,61,107,87
18/03/2015,10:00 AM,68,56,49,---,57
18/03/2015,11:00 AM,41,41,48,---,47
18/03/2015,12:00 PM,27,33,56,---,48
18/03/2015,1:00 PM,27,33,53,---,41
18/03/2015,2:00 PM,15,29,38,---,39
18/03/2015,3:00 PM,11,24,32,---,43
18/03/2015,4:00 PM,15,27,41,---,43
18/03/2015,5:00 PM,12,29,45,61,43
18/03/2015,6:00 PM,13,31,40,---,49
18/03/2015,7:00 PM,21,38,61,59,55
18/03/2015,8:00 PM,25,38,71,62,52
18/03/2015,9:00 PM,48,32,92,72,62
18/03/2015,10:00 PM,51,27,136,83,53
18/03/2015,11:00 PM,51,30,113,98,53
18/03/2015 24:00 AM,,70,28,106,98,54
19/03/2015,1:00 AM,63,27,85,134,62
19/03/2015,2:00 AM,71,30,129,132,68
19/03/2015,3:00 AM,70,31,111,---,64
19/03/2015,4:00 AM,55,38,82,122,57
19/03/2015,5:00 AM,84,47,74,143,58
19/03/2015,6:00 AM,95,51,75,144,63
19/03/2015,7:00 AM,100,48,120,127,70
19/03/2015,8:00 AM,88,75,121,131,64
19/03/2015,9:00 AM,61,54,---,114,70
19/03/2015,10:00 AM,47,50,42,---,61
19/03/2015,11:00 AM,45,48,37,---,61
19/03/2015,12:00 PM,37,31,33,---,59
19/03/2015,1:00 PM,30,29,38,---,55
19/03/2015,2:00 PM,29,31,40,---,49
19/03/2015,3:00 PM,22,28,39,49,44
19/03/2015,4:00 PM,19,34,42,47,47
19/03/2015,5:00 PM,13,28,46,---,42
19/03/2015,6:00 PM,25,35,52,60,45
19/03/2015,7:00 PM,24,39,52,---,50
19/03/2015,8:00 PM,39,34,59,53,63
19/03/2015,9:00 PM,53,43,77,---,77
19/03/2015,10:00 PM,102,38,106,---,73
19/03/2015,11:00 PM,102,42,110,---,66
19/03/2015 24:00 AM,,146,36,130,---,69
20/03/2015,1:00 AM,143,31,143,85,68
20/03/2015,2:00 AM,129,38,162,95,72
20/03/2015,3:00 AM,133,38,88,112,77
20/03/2015,4:00 AM,152,38,81,97,73
20/03/2015,5:00 AM,189,34,62,97,58
20/03/2015,6:00 AM,154,60,67,96,72
20/03/2015,7:00 AM,132,81,71,111,83
20/03/2015,8:00 AM,115,100,69,126,91
20/03/2015,9:00 AM,99,99,63,113,88
20/03/2015,10:00 AM,87,47,46,---,76
20/03/2015,11:00 AM,62,35,39,116,49
20/03/2015,12:00 PM,43,40,39,72,41
20/03/2015,1:00 PM,30,46,InVld,InVld,44
20/03/2015,2:00 PM,30,66,91,78,46
20/03/2015,3:00 PM,22,43,65,54,49
20/03/2015,4:00 PM,27,37,74,54,52
20/03/2015,5:00 PM,25,57,75,53,51
20/03/2015,6:00 PM,27,44,77,60,61
20/03/2015,7:00 PM,33,44,97,69,62
20/03/2015,8:00 PM,50,230,117,86,67
20/03/2015,9:00 PM,61,143,134,58,74
20/03/2015,10:00 PM,80,96,113,148,76
20/03/2015,11:00 PM,88,96,109,112,70
20/03/2015 24:00 AM,,101,76,105,446,66
21/03/2015,1:00 AM,127,77,134,-15,61
21/03/2015,2:00 AM,132,37,142,344,63
21/03/2015,3:00 AM,138,38,136,151,78
21/03/2015,4:00 AM,141,36,175,204,69
21/03/2015,5:00 AM,167,65,138,153,67
21/03/2015,6:00 AM,165,86,115,106,90
21/03/2015,7:00 AM,155,77,117,115,110
21/03/2015,8:00 AM,163,77,102,444,111
21/03/2015,9:00 AM,162,56,86,-15,101
21/03/2015,10:00 AM,109,50,61,574,77
21/03/2015,11:00 AM,67,61,60,-15,54
21/03/2015,12:00 PM,67,52,81,InVld,48
21/03/2015,1:00 PM,51,39,81,InVld,48
21/03/2015,2:00 PM,34,106,69,InVld,51
21/03/2015,3:00 PM,27,67,60,InVld,57
21/03/2015,4:00 PM,23,54,68,InVld,51
21/03/2015,5:00 PM,28,50,75,InVld,52
21/03/2015,6:00 PM,35,42,86,InVld,59
21/03/2015,7:00 PM,24,41,109,InVld,62
21/03/2015,8:00 PM,46,49,129,106,80
21/03/2015,9:00 PM,60,41,157,122,78
21/03/2015,10:00 PM,67,39,162,InVld,86
21/03/2015,11:00 PM,86,40,121,InVld,73
21/03/2015 24:00 AM,,71,40,101,93,78
22/03/2015,1:00 AM,72,38,107,90,67
22/03/2015,2:00 AM,78,40,120,InVld,58
