"AIR QUALITY REPORT-US EMBASSY, NEW DELHI and CONSULATES ( YR 2013)",,,,,,,,,,,,
Date,Time,US Embassy-New Delhi,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Mumbai,US Consulate-Hyderabad,US Consulate-Hyderabad,
,,PM2.5_Delhi,PM2.5_Delhi_AQI,PM2.5_Chennai,PM2.5_CHN_AQI,PM2.5_Kolkata,PM2.5_KOL_AQI,PM2.5_Mum,PM2.5_MUM_AQI,PM2.5_HYD,PM2.5_HYD_AQI,
,,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,ug/m3,
4/1/2013,11:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
04/01/2013 24:00 AM,,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,1:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,2:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,3:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,4:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,5:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,6:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,7:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,8:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,9:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,10:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,11:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,12:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,1:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,2:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,3:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,4:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,5:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,6:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,7:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,8:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,9:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,10:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
5/1/2013,11:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
05/01/2013 24:00 AM,,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,1:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,2:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,3:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,4:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,5:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,6:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,7:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,8:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,9:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,10:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,11:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,12:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,1:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,2:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,3:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,4:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,5:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,6:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,7:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,8:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,9:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,10:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
6/1/2013,11:00 PM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
06/01/2013 24:00 AM,,297.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,1:00 AM,271,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,2:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,3:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,4:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,5:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,6:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,7:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,8:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,9:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,10:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,11:00 AM,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,12:00 PM,214.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,1:00 PM,238.5,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,2:00 PM,254.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,3:00 PM,199.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,4:00 PM,164.2,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,5:00 PM,154,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,6:00 PM,157.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,7:00 PM,210.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,8:00 PM,260.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,9:00 PM,335.8,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,10:00 PM,379.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
7/1/2013,11:00 PM,459.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
07/01/2013 24:00 AM,,398.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,1:00 AM,397,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,2:00 AM,353.7,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,3:00 AM,306.4,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,4:00 AM,254.3,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,5:00 AM,203.1,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,6:00 AM,176.7,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,7:00 AM,173.4,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,8:00 AM,192.6,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,9:00 AM,203.3,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,10:00 AM,236.2,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,11:00 AM,265,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,12:00 PM,248.5,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,1:00 PM,211.8,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,2:00 PM,167.7,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,3:00 PM,149.9,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,4:00 PM,147,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,5:00 PM,133.3,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,6:00 PM,139.2,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,7:00 PM,171.6,299,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,8:00 PM,207.8,297,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,9:00 PM,233.2,295,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,10:00 PM,250.1,291,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
8/1/2013,11:00 PM,265.5,285,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
08/01/2013 24:00 AM,,269.7,277,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,1:00 AM,238.9,272,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,2:00 AM,251,266,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,3:00 AM,250,261,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,4:00 AM,235.4,259,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,5:00 AM,226.2,258,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,6:00 AM,217.7,259,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,7:00 AM,239.2,261,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,8:00 AM,229,264,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
